#/home/enes/bim/BIM.py trees/ir3110040.trees,trees/ir3110041.trees,trees/ir3110042.trees,trees/ir3110043.trees,trees/ir3110044.trees,trees/ir3110045.trees,trees/ir3110046.trees,trees/ir3110047.trees,trees/ir3110048.trees,trees/ir3110049.trees 50 --stats=all --eta=etas/Fn.json --out=outs/591080473.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,TajD,FerL,FulD,bsfs,FayH,Colless,btree,path
0,100001.0,50,375,-0.2019722991334612,-0.6205454242507025,-0.13478853797424137,0.14413510993876158,-1.0709878233804166,-0.05937193447995867,0.1869047619047619,-0.9115768580100015,ir3110040.trees
0,100001.0,50,467,0.08504968197041057,-0.19650474063331438,-0.21287883606649788,0.6729082970986794,-0.6026909697516201,-0.03890010300075129,0.13951984903550468,-0.43754813354489935,ir3110041.trees
0,100001.0,50,399,0.22562035114950826,0.12941690829656236,-0.1811919259435829,-0.28508443209090795,0.15510416804090857,-0.012450921078331591,0.11997894395853585,0.2630188697703793,ir3110042.trees
0,100001.0,50,510,0.24788075107150193,0.060000228919925284,-0.24726081493289084,-0.8243114072274621,-0.05088948658455188,-0.025037960146420637,0.11999976046756725,0.17039808945401105,ir3110043.trees
0,100001.0,50,466,0.1730763962667237,-0.2857574137395918,-0.3659049348181124,-1.2903642946682852,-0.43271924739121126,-0.06323614354096256,0.17173673980870544,-0.9274673634231326,ir3110044.trees
0,100001.0,50,440,0.024886348444602715,-0.26282623425250445,-0.18330192003527032,0.10791471899294723,-0.4207705498862949,-0.04005414475220143,0.14800327538422778,-0.7499437122866125,ir3110045.trees
0,100001.0,50,428,-0.10090185504489196,-0.08850724170116371,0.06294472401406254,-0.039036595301792716,-0.021483235436570568,0.0012781958959130516,0.1430560127276718,-0.29888424749014736,ir3110046.trees
0,100001.0,50,380,0.5352009865508763,0.4101991991647634,-0.3692064648098807,0.06001129184719771,0.40942469928870384,-0.01516293788590705,0.1399858644756604,0.03144910486068478,ir3110047.trees
0,100001.0,50,418,-0.21463553576445937,-0.12078867608729593,0.1736867191337152,-0.1383748233459765,-0.045839197614421845,0.012150927284777955,0.12233667051726348,-0.07380732388041886,ir3110048.trees
0,100001.0,50,319,-0.17445257589540047,-0.08327186037806616,0.15021217597203612,0.5606662075178346,0.15637272578260164,0.01206219373070843,0.13271379980563647,-0.14874201928436145,ir3110049.trees
