#/home/enes/bim/BIM.py trees/ir3070020.trees,trees/ir3070021.trees,trees/ir3070022.trees,trees/ir3070023.trees,trees/ir3070024.trees,trees/ir3070025.trees,trees/ir3070026.trees,trees/ir3070027.trees,trees/ir3070028.trees,trees/ir3070029.trees 50 --stats=all --eta=etas/Fn.json --out=outs/740117353.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,FulD,bsfs,TajD,FayH,FerL,btree,Colless,path
0,100001.0,50,427,-0.6600334033906206,0.8358389673014002,-0.09020763955127886,-0.25756924674350734,0.05324067467058575,0.6011386356876198,-0.51127250096693,0.13397652294000306,ir3070020.trees
0,100001.0,50,436,0.2634202341674926,-0.6084162973050559,0.92533117507616,0.5281246622285148,0.03814494122880738,0.010787126044017888,-0.09502800711860684,0.11357273678702252,ir3070021.trees
0,100001.0,50,474,0.437410091971044,-0.3862325917929458,-0.020891059073178682,0.1478162024816233,-0.03838915772791155,-0.41168304915953624,-0.4222410277260605,0.13965755793842957,ir3070022.trees
0,100001.0,50,441,0.1978036519025557,-0.7396787110882383,0.6454167435510147,0.3729985414715133,0.025353175096564897,-0.005767618825886556,0.34193292749211546,0.12426172019195275,ir3070023.trees
0,100001.0,50,439,0.33946435523882484,-1.166744876310026,0.26752152999294326,0.32522492772508904,-0.0004538385855683906,-0.19552280609809825,-0.47158132064148955,0.13725962826075316,ir3070024.trees
0,100001.0,50,462,0.7171056105308479,-0.5672698360189196,0.0842600377469643,0.30312131396697695,-0.05448737376238546,-0.6391543340560412,-0.8003365715164165,0.15793650793650793,ir3070025.trees
0,100001.0,50,359,0.4286139807404805,0.7092258624053742,-0.8903461072292896,-0.11476287100246335,-0.07416811133312036,-0.5566489267926159,-0.7770534552970085,0.14528061224489802,ir3070026.trees
0,100001.0,50,589,-0.2123705419730139,0.3548807977430897,0.24788943658209886,-0.02211005979189529,0.025482777713500875,0.22905447913501695,-0.507465305531045,0.14550717547292882,ir3070027.trees
0,100001.0,50,494,-0.04502779229560592,0.8163453737038568,-0.8037159652919084,-0.2552780677049533,-0.02954055774747906,-0.09924998908375185,-0.5103895612257936,0.13060301640035865,ir3070028.trees
0,100001.0,50,518,0.051736827345251354,-0.2900228182199994,0.20378574910522762,0.06414524704364927,0.0019749410241813657,-0.02114062369807241,0.2558326645911215,0.12670068027210887,ir3070029.trees
