#/home/enes/bim/BIM.py trees/r3000050.trees,trees/r3000051.trees,trees/r3000052.trees,trees/r3000053.trees,trees/r3000054.trees,trees/r3000055.trees,trees/r3000056.trees,trees/r3000057.trees,trees/r3000058.trees,trees/r3000059.trees 50 --stats=all --eta=etas/Fn.json --out=outs/758204560.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,ZngE,FerL,bsfs,FulD,FayH,Colless,btree,path
0,100001.0,50,446,-0.02520866039518016,0.14274514426374987,-0.17767852911618337,-0.21262178803507634,0.327935749944095,-0.022797243783606404,0.12561274509803916,0.3692491428286193,r3000050.trees
0,100001.0,50,393,-0.23397328026972464,-0.22227652691247493,0.11582784770554375,-0.3286436984461444,0.17522161395569882,-0.0026038729373664316,0.13818850120693443,-0.40336943502525135,r3000051.trees
0,100001.0,50,553,0.6471040446139237,0.6816377715911751,-0.3951321942100764,0.611407075697067,-1.150973899741164,-0.00154458247156586,0.10701174743024948,0.8427926027001015,r3000052.trees
0,100001.0,50,385,-0.3864444432726344,-0.8818234359288806,0.7786371521375228,-0.32027434427494345,1.6698419340930934,0.06540725809169216,0.13077416595380667,0.3292034296487571,r3000053.trees
0,100001.0,50,382,-0.15760027241013502,-0.00758106949686065,-0.0841291079092999,-0.2851177876537796,-0.30627214460148816,-0.02099835595889682,0.10016298185941042,0.4250934011285074,r3000054.trees
0,100001.0,50,422,0.6152439888828651,0.490651480066256,-0.19720101379655877,1.1483489682027215,-0.09807798331254208,0.019589893983101958,0.11982109227871945,0.7301984856966922,r3000055.trees
0,100001.0,50,511,0.6336633532607078,0.4184568366152937,-0.10326150195911223,0.9664618627004846,-0.5680097607858635,0.03198607678314621,0.11422193877551011,0.6838359485122883,r3000056.trees
0,100001.0,50,415,0.22673231454104767,-0.03361500325274963,0.1719235872958937,0.5466074697943026,-0.15126051421412529,0.03621207406613621,0.14013073979591834,0.16878230373568653,r3000057.trees
0,100001.0,50,390,-0.125575020488892,-0.275391198028838,0.24026959477547857,0.06244274797797967,0.39167127212633435,0.019735744934777907,0.11282984531392169,0.5454221461395535,r3000058.trees
0,100001.0,50,500,-0.27916152127613514,-0.601985900310223,0.5217829810243311,-0.0882702146812239,0.41124162890138455,0.04221193798227338,0.11430053672845289,0.32076121298290183,r3000059.trees
