start,end,N,SS,FerL,ZngE,TajD,FayH,bsfs,FulD,Colless,btree,path,iColless,ibtree
0,100001.0,50,522,-0.1885244058483589,0.3174603265405613,0.2939307744935883,-0.0017786903942788614,0.23703236273001566,-0.3982902521638399,0.10307017543859642,0.6751704263472463,3110000,0.1193930697278912,0.2487039947008999
0,100001.0,50,369,0.1187964904102502,0.0010893373924712,0.20397276635459996,0.02836609500141433,0.4378411031555497,0.07962983622054058,0.13373933388384254,-0.0013018750380550605,3110001,0.13389068498686604,-0.10093503571284486
0,100001.0,50,356,-0.4546363302882726,0.22374805065488654,-0.3387593474851321,-0.07771627618373499,-1.1615827227657471,0.8675492462769682,0.1684840602907828,-0.9251051137355064,3110002,0.1907012805122048,-1.2355285451835558
0,100001.0,50,408,-0.4141010680069044,0.16487667781341825,-0.38367559498370013,-0.07589478677888792,-1.4737469997922263,0.4470650621226376,0.14385595508044488,-0.5429329029241348,3110003,0.15318692694469088,-0.8013482793850637
0,100001.0,50,417,-0.10874737852781773,0.1958044905821825,0.19455477480191946,0.0006964684761770117,0.3170211948960484,-0.3083958933328693,0.13169642857142866,-0.15639603532122442,3110004,0.15137902987281868,-0.7515246530198899
0,100001.0,50,421,0.017510657723913543,-0.03562476018452018,-0.039254037470325805,-0.0006657793139470353,-0.031703051035692785,0.19096321526939916,0.11114094760711304,0.4080010880884801,3110005,0.10625386518243664,0.4817313946700718
0,100001.0,50,338,-0.1842483673449613,0.3136560398518538,0.2954919497265881,-0.001249250925753613,0.4024994230370706,-0.3117343502296821,0.11874936541780895,0.27156393241803994,3110006,0.11447254958321355,0.4335709475015739
0,100001.0,50,482,-0.7268775511234671,0.6606376647001724,0.04500479942959493,-0.082830217290362,-0.4058493193016447,-0.2500207280758439,0.13873319280763938,-0.2294505262626881,3110007,0.15088620482206494,-0.5515341748525725
0,100001.0,50,460,-0.10264575441369414,0.17961245893246866,0.17334927273688594,-5.138452904727835e-05,0.12246841701768532,0.08890552774190763,0.11779402482642536,0.1680881998214048,3110008,0.1223172367538565,-0.02760910025051842
0,100001.0,50,396,0.42509650201637866,-0.569309287989687,-0.3811192157404381,0.02380292491856641,-0.3247619712630444,0.8967416241085953,0.14627100840336135,-0.35105784097015,3110009,0.13529112432374524,-0.26175005172505883
0,100001.0,50,455,0.2459296541384378,-0.1266499590656558,0.17211578127180607,0.041121971022487866,0.742674728773677,0.7448503014672528,0.11178446988551534,0.34296361414738896,3110010,0.13281026696392845,-0.205637539844096
0,100001.0,50,381,0.31550446803593524,-0.2580373462456953,0.0358064543579769,0.0399529694027983,0.4992036884024433,0.24547288903754205,0.11394071914480075,0.4824851541150372,3110011,0.12343358395989973,0.23270621912532624
